Lycée Charles de Gaulle,17:48,|,|,|,|,|,|,08:19,|,|,|,|,|,|,|,12:15,|,|,|,|,|,|,|,|,|,|,17:48,|,|,|,17:48,|,|,|,|,|
Jean Monnet,17:49,|,|,|,|,|,|,08:20,|,|,|,|,|,|,|,12:16,|,|,|,|,|,|,|,|,|,|,17:49,|,|,|,17:49,|,|,|,|,|
Mercure,17:50,|,|,|,|,|,|,08:21,|,|,|,|,|,|,|,12:17,|,|,|,|,|,|,|,|,|,|,17:50,|,|,|,17:50,|,|,|,|,|
CIMA,17:51,|,|,|,|,|,|,08:22,|,|,|,|,|,|,|,12:18,|,|,|,|,|,|,|,|,|,|,17:51,|,|,|,17:51,|,|,|,|,|
Hôpital,17:53,18:20,18:40,19:15,19:35,20:15,08:00,08:25,09:02,09:20,09:45,10:17,10:40,11:33,11:50,12:20,12:45,13:10,13:30,14:10,14:50,15:20,16:05,16:20,16:45,17:21,17:53,18:20,18:40,19:15,17:53,18:20,18:40,19:15,19:35,20:15
Mercières,17:56,18:23,18:42,19:16,19:36,20:16,08:02,08:27,09:04,09:22,09:47,10:19,10:42,11:35,11:52,12:22,12:47,13:12,13:32,14:12,14:52,15:22,16:07,16:22,16:48,17:24,17:56,18:23,18:42,19:16,17:56,18:23,18:42,19:16,19:36,20:16
Blaise Pascal,17:59,18:26,18:44,19:18,19:38,20:18,08:04,08:30,09:06,09:24,09:49,10:21,10:44,11:37,11:54,12:25,12:50,13:15,13:35,14:14,14:54,15:24,16:10,16:25,16:51,17:27,17:59,18:26,18:44,19:18,17:59,18:26,18:44,19:18,19:38,20:18
Centre Commercial Royallieu,18:00,18:27,18:45,19:19,19:39,20:19,08:05,08:31,09:07,09:25,09:50,10:22,10:45,11:38,11:55,12:26,12:51,13:16,13:36,14:15,14:55,15:25,16:11,16:26,16:52,17:28,18:00,18:27,18:45,19:19,18:00,18:27,18:45,19:19,19:39,20:19
Vivier Corax,18:01,18:28,18:46,19:20,19:40,20:20,08:06,08:32,09:08,09:26,09:51,10:23,10:46,11:39,11:56,12:27,12:52,13:17,13:37,14:16,14:56,15:26,16:12,16:27,16:53,17:29,18:01,18:28,18:46,19:20,18:01,18:28,18:46,19:20,19:40,20:20
Huy Senlis,18:01,18:28,18:46,19:20,19:40,20:20,08:06,08:32,09:08,09:26,09:51,10:23,10:46,11:39,11:56,12:27,12:52,13:17,13:37,14:16,14:56,15:26,16:12,16:27,16:53,17:29,18:01,18:28,18:46,19:20,18:01,18:28,18:46,19:20,19:40,20:20
Pillet Will,18:03,18:30,18:48,19:22,19:42,20:22,08:08,08:34,09:10,09:28,09:53,10:25,10:48,11:41,11:58,12:29,12:54,13:19,13:39,14:18,14:58,15:28,16:14,16:29,16:55,17:31,18:03,18:30,18:48,19:22,18:03,18:30,18:48,19:22,19:42,20:22
Abbaye,18:04,18:31,18:49,19:23,19:43,20:23,08:09,08:35,09:11,09:29,09:54,10:26,10:49,11:42,11:59,12:30,12:55,13:20,13:40,14:19,14:59,15:29,16:15,16:30,16:56,17:32,18:04,18:31,18:49,19:23,18:04,18:31,18:49,19:23,19:43,20:23
Mémorial,|,|,|,|,|,|,|,|,09:13,|,|,10:28,|,|,|,|,|,|,|,14:21,|,15:31,|,|,|,|,|,|,|,|,|,|,|,|,|,|
Picardie,18:05,18:32,18:50,19:24,19:44,20:24,08:10,08:36,09:14,09:30,09:55,10:29,10:50,11:43,12:00,12:31,12:56,13:21,13:41,14:22,15:00,15:32,16:16,16:31,16:57,17:33,18:05,18:32,18:50,19:24,18:05,18:32,18:50,19:24,19:44,20:24
Jean L'Huillier,18:06,18:33,18:51,19:25,19:45,20:25,08:11,08:37,09:15,09:31,09:56,10:30,10:51,11:44,12:01,12:32,12:57,13:22,13:42,14:23,15:01,15:33,16:17,16:32,16:58,17:34,18:06,18:33,18:51,19:25,18:06,18:33,18:51,19:25,19:45,20:25
Piscine,18:07,18:34,18:52,19:26,19:46,20:26,08:12,08:38,09:16,09:32,09:57,10:31,10:52,11:45,12:02,12:33,12:58,13:23,13:43,14:24,15:02,15:34,16:18,16:33,16:59,17:35,18:07,18:34,18:52,19:26,18:07,18:34,18:52,19:26,19:46,20:26
Victoire,18:09,18:36,18:54,19:28,19:48,20:28,08:14,08:39,|,09:34,09:59,|,10:54,11:47,12:04,12:34,13:00,13:25,13:45,|,15:04,|,16:20,16:35,17:01,17:37,18:09,18:36,18:54,19:28,18:09,18:36,18:54,19:28,19:48,20:28
Réservoirs,18:10,18:37,18:55,19:29,19:49,20:29,08:15,08:40,|,09:35,10:00,|,10:55,11:48,12:05,12:35,13:01,13:26,13:46,|,15:05,|,16:21,16:36,17:02,17:38,18:10,18:37,18:55,19:29,18:10,18:37,18:55,19:29,19:49,20:29
Carnot,18:11,18:38,18:56,19:30,19:50,20:30,08:16,08:41,|,09:36,10:01,|,10:56,11:49,12:06,12:36,13:02,13:27,13:47,|,15:06,|,16:22,16:37,17:03,17:39,18:11,18:38,18:56,19:30,18:11,18:38,18:56,19:30,19:50,20:30
La Vènerie,18:12,18:39,18:57,19:31,19:51,20:31,08:17,08:42,|,09:37,10:02,|,10:57,11:50,12:07,12:37,13:03,13:28,13:48,|,15:07,|,16:23,16:38,17:04,17:40,18:12,18:39,18:57,19:31,18:12,18:39,18:57,19:31,19:51,20:31
Lycée Pierre d'Ailly,18:13,18:40,18:58,19:32,19:52,20:32,08:18,08:43,|,09:38,10:03,|,10:58,11:51,12:08,12:38,13:04,13:29,13:49,|,15:08,|,16:24,16:39,17:05,17:41,18:13,18:40,18:58,19:32,18:13,18:40,18:58,19:32,19:52,20:32
Maison de l'Europe,18:14,18:41,18:59,19:33,19:53,20:33,08:19,08:45,|,09:39,10:04,|,10:59,11:52,12:09,12:39,13:05,13:30,13:50,|,15:09,|,16:25,16:40,17:06,17:42,18:14,18:41,18:59,19:33,18:14,18:41,18:59,19:33,19:53,20:33
Bournonville,18:15,18:42,19:00,19:34,19:54,20:34,08:20,08:46,|,09:40,10:05,|,11:00,11:53,12:10,12:40,13:06,13:31,13:51,|,15:10,|,16:26,16:41,17:07,17:43,18:15,18:42,19:00,19:34,18:15,18:42,19:00,19:34,19:54,20:34
Bournonville 2,18:15,18:42,19:00,19:34,19:54,20:34,08:20,08:47,|,09:40,10:05,|,11:00,11:53,12:10,12:40,13:06,13:31,13:51,|,15:10,|,16:26,16:41,17:07,17:43,18:15,18:42,19:00,19:34,18:15,18:42,19:00,19:34,19:54,20:34
Saint-Lazare,18:16,18:43,19:01,19:35,19:55,20:35,08:21,08:48,|,09:41,10:06,|,11:01,11:54,12:11,12:41,13:07,13:32,13:52,|,15:11,|,16:27,16:42,17:08,17:44,18:16,18:43,19:01,19:35,18:16,18:43,19:01,19:35,19:55,20:35
Jacques Monod,18:17,18:44,19:02,19:35,19:55,20:35,08:21,08:49,|,09:42,10:07,|,11:02,11:55,12:12,12:42,13:08,13:33,13:53,|,15:12,|,16:28,16:43,17:09,17:45,18:17,18:44,19:02,19:35,18:17,18:44,19:02,19:35,19:55,20:35
Victor Hugo,18:18,18:45,19:03,19:36,19:56,20:36,08:23,08:51,|,09:43,10:08,|,11:03,11:56,12:13,12:43,13:09,13:34,13:54,|,15:13,|,16:29,16:44,17:10,17:46,18:18,18:45,19:03,19:36,18:18,18:45,19:03,19:36,19:56,20:36
Libération,|,|,|,|,|,|,|,|,09:18,|,|,10:33,|,|,|,|,|,|,|,14:26,|,15:36,|,|,|,|,|,|,|,|,|,|,|,|,|,|
Verdun,|,|,|,|,|,|,|,|,09:19,|,|,10:34,|,|,|,|,|,|,|,14:27,|,15:37,|,|,|,|,|,|,|,|,|,|,|,|,|,|
Route Forestière du Moulin,|,|,|,|,|,|,|,|,09:22,|,|,10:37,|,|,|,|,|,|,|,14:30,|,15:40,|,|,|,|,|,|,|,|,|,|,|,|,|,|
Maison de l'Europe,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|
Bournonville,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|
Bournonville 2,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|
Saint-Lazare,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|
Jacques Monod,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|
Grande-Bretagne,|,|,|,|,|,|,|,|,09:25,|,|,10:40,|,|,|,|,|,|,|,14:33,|,15:43,|,|,|,|,|,|,|,|,|,|,|,|,|,|
Rond Royal,|,|,|,|,|,|,|,|,09:26,|,|,10:41,|,|,|,|,|,|,|,14:34,|,15:44,|,|,|,|,|,|,|,|,|,|,|,|,|,|
Sous-Préfecture,|,|,|,|,|,|,|,|,09:27,|,|,10:42,|,|,|,|,|,|,|,14:35,|,15:45,|,|,|,|,|,|,|,|,|,|,|,|,|,|
Palais,18:20,18:47,19:05,19:37,19:57,20:37,08:25,08:53,09:29,09:45,10:10,10:44,11:05,11:58,12:15,12:45,13:11,13:36,13:56,14:37,15:15,15:47,16:31,16:46,17:12,17:48,18:20,18:47,19:05,19:37,18:20,18:47,19:05,19:37,19:57,20:37
Saint-Jacques,18:21,18:48,19:06,19:38,19:58,20:38,08:26,08:54,09:30,09:46,10:11,10:45,11:06,11:59,12:16,12:46,13:12,13:37,13:57,14:38,15:16,15:48,16:32,16:47,17:13,17:49,18:21,18:48,19:06,19:38,18:21,18:48,19:06,19:38,19:58,20:38
Solférino,18:24,18:51,19:08,19:40,20:00,20:40,08:28,08:56,09:32,09:48,10:13,10:47,11:09,12:02,12:19,12:49,13:15,13:40,14:00,14:40,15:19,15:50,16:35,16:50,17:16,17:52,18:24,18:51,19:08,19:40,18:24,18:51,19:08,19:40,20:00,20:40
Compiègne Gare,18:27,18:54,19:11,19:42,20:02,20:42,08:31,08:59,09:35,09:51,10:16,10:50,11:12,12:05,12:22,12:52,13:18,13:43,14:03,14:43,15:22,15:53,16:38,16:53,17:19,17:55,18:27,18:54,19:11,19:42,18:27,18:54,19:11,19:42,20:02,20:42
