Compiègne Gare,06:00,07:00,07:22,07:38,08:02,08:25,08:40,09:05,09:40,10:00,10:25,10:55,11:30,12:09,12:30,13:25,13:50,14:45,15:27,15:40,16:00,16:42,17:05,17:30,18:05,18:30,19:05,19:36,20:22,21:10
Solférino,06:02,07:02,07:24,07:41,08:05,08:28,08:43,09:07,09:43,10:03,10:27,10:58,11:33,12:12,12:33,13:28,13:53,14:48,15:30,15:43,16:03,16:45,17:08,17:33,18:08,18:32,19:07,19:38,20:24,21:12
Magenta,06:05,07:05,07:27,07:44,08:08,08:31,08:46,09:10,09:46,10:06,10:30,11:01,11:36,12:15,12:36,13:31,13:56,14:51,15:33,15:46,16:06,16:48,17:11,17:36,18:11,18:35,19:10,19:41,20:27,21:15
Jacques Monod,06:06,07:06,07:29,07:46,08:10,08:33,08:47,09:12,|,10:07,10:32,|,11:37,12:16,12:37,13:32,13:57,14:52,|,15:48,16:08,|,17:13,17:38,18:13,18:37,19:11,19:42,20:28,21:16
Saint-Lazare,06:07,07:07,07:30,07:47,08:11,08:34,08:48,09:13,|,10:08,10:33,|,11:38,12:17,12:38,13:33,13:58,14:53,|,15:49,16:09,|,17:14,17:39,18:14,18:38,19:12,19:43,20:29,21:17
Bournonville 2,06:08,07:08,07:31,07:48,08:12,08:35,08:49,09:14,|,10:09,10:34,|,11:39,12:18,12:39,13:34,13:59,14:54,|,15:50,16:10,|,17:15,17:40,18:15,18:39,19:13,19:44,20:30,21:18
Bournonville,06:08,07:08,07:31,07:49,08:13,08:36,08:49,09:14,|,10:09,10:34,|,11:39,12:18,12:39,13:34,13:59,14:54,|,15:51,16:11,|,17:16,17:41,18:16,18:39,19:13,19:44,20:30,21:18
Carrefour Napoleon,06:09,07:09,07:32,07:50,08:14,08:37,08:50,09:15,|,10:10,10:35,|,11:40,12:19,12:40,13:35,14:00,14:55,|,15:52,16:12,|,17:17,17:42,18:17,18:40,19:14,19:45,20:31,21:19
Lycée Pierre d'Ailly,06:10,07:10,07:33,07:51,08:15,08:38,08:51,09:16,|,10:11,10:36,|,11:41,12:20,12:41,13:36,14:01,14:56,|,|,16:13,|,17:18,17:43,18:18,18:41,19:15,|,20:32,21:20
La Vènerie,06:11,07:11,07:34,07:52,08:16,08:40,08:52,09:17,|,10:12,10:37,|,11:42,12:21,12:42,13:37,14:02,14:57,|,|,16:14,|,17:19,17:44,18:19,18:42,19:16,|,20:33,21:21
Carnot,06:12,07:12,07:35,07:53,08:17,08:41,08:53,09:18,|,10:13,10:38,|,11:43,12:22,12:43,13:38,14:03,14:58,|,|,16:15,|,17:20,17:45,18:20,18:43,19:17,|,20:34,21:22
Réservoirs,06:13,07:13,07:36,07:54,08:18,08:42,08:54,09:19,|,10:14,10:39,|,11:44,12:23,12:44,13:39,14:04,14:59,|,|,16:16,|,17:21,17:46,18:21,18:44,19:18,|,20:35,21:23
Sous-Préfecture,|,|,|,|,|,|,|,|,09:48,|,|,11:03,|,|,|,|,|,|,15:35,|,|,16:50,|,|,|,|,|,|,|,|
Rond Royal,|,|,|,|,|,|,|,|,09:49,|,|,11:04,|,|,|,|,|,|,15:36,|,|,16:51,|,|,|,|,|,|,|,|
Grande-Bretagne,|,|,|,|,|,|,|,|,09:50,|,|,11:05,|,|,|,|,|,|,15:37,|,|,16:52,|,|,|,|,|,|,|,|
Route Forestière du Moulin,|,|,|,|,|,|,|,|,09:53,|,|,11:08,|,|,|,|,|,|,15:40,15:57,|,16:55,|,|,|,|,|,19:48,|,|
Verdun,|,|,|,|,|,|,|,|,09:56,|,|,11:11,|,|,|,|,|,|,15:43,|,|,16:58,|,|,|,|,|,|,|,|
Libération,|,|,|,|,|,|,|,|,09:57,|,|,11:12,|,|,|,|,|,|,15:44,|,|,16:59,|,|,|,|,|,|,|,|
Lycée Pierre d'Ailly,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,16:02,|,|,|,|,|,|,|,19:51,|,|
La Vènerie,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,16:03,|,|,|,|,|,|,|,19:52,|,|
Carnot,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,16:04,|,|,|,|,|,|,|,19:53,|,|
Réservoirs,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,16:05,|,|,|,|,|,|,|,19:54,|,|
Victoire,06:14,07:14,07:38,07:56,08:20,08:43,08:56,09:21,09:58,10:16,10:41,11:13,11:46,12:25,12:45,13:41,14:06,15:01,15:45,16:07,16:18,17:00,17:23,17:48,18:23,18:46,19:19,19:55,20:37,21:24
Piscine,06:15,07:15,07:39,07:57,08:21,08:44,08:57,09:22,09:59,10:17,10:42,11:14,11:47,12:26,12:47,13:42,14:07,15:02,15:46,16:08,16:19,17:01,17:24,17:49,18:24,18:47,19:20,19:56,20:38,21:25
Jean L'Huillier,06:16,07:16,07:40,07:58,08:22,08:46,08:58,09:23,10:01,10:18,10:43,11:16,11:48,12:27,12:48,13:43,14:08,15:03,15:48,16:09,16:21,17:03,17:25,17:50,18:25,18:48,19:22,19:58,20:38,21:27
Picardie,06:17,07:17,07:41,08:00,08:24,08:47,08:59,09:24,10:02,10:19,10:44,11:17,11:49,12:28,12:49,13:44,14:09,15:04,15:49,16:10,16:22,17:04,17:27,17:51,18:26,18:49,19:23,19:59,20:40,21:28
Mémorial,|,|,|,|,|,|,|,|,10:04,|,|,11:19,|,|,|,|,|,|,15:51,|,|,17:06,|,|,|,|,|,|,|,|
Abbaye,06:18,07:18,07:42,08:01,08:25,08:48,09:00,09:25,10:05,10:20,10:45,11:20,11:50,12:29,12:50,13:45,14:10,15:05,15:52,16:11,16:23,17:07,17:28,17:52,18:27,18:50,19:24,20:00,20:41,21:29
Royallieu,06:19,07:19,07:43,08:02,08:26,08:49,09:01,09:26,10:06,10:21,10:46,11:21,11:51,12:30,12:51,13:46,14:11,15:06,15:53,16:12,16:24,17:08,17:29,17:53,18:28,18:51,19:25,20:01,20:42,21:30
Vivier Corax,06:21,07:21,07:45,08:04,|,08:51,09:03,09:28,10:08,10:23,10:48,11:23,11:53,12:32,12:53,13:48,14:13,15:08,15:55,|,16:26,17:10,17:31,17:55,18:30,18:53,19:27,|,20:44,21:32
Centre Commercial Royallieu,06:22,07:22,07:46,08:05,|,08:53,09:04,09:29,10:09,10:24,10:49,11:24,11:54,12:33,12:54,13:49,14:14,15:09,15:56,|,16:27,17:11,17:32,17:56,18:31,18:54,19:28,|,20:45,21:33
André Malraux,06:24,07:24,07:48,08:07,|,08:55,09:06,09:31,10:11,10:26,10:51,11:26,11:56,12:35,12:56,13:51,14:16,15:11,15:58,|,16:29,17:13,17:34,17:58,18:33,18:56,19:30,|,20:47,21:35
