Stalingrad,06:07,06:25,06:56,07:20,07:37,08:05,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:35,13:00,13:30,14:00,15:00,15:30,16:00,16:25,17:00,17:25,18:05,18:20,19:00,19:35,19:55,20:30
Vivier Corax,06:08,06:26,06:57,07:21,07:38,08:06,09:01,09:31,10:01,10:31,11:01,11:31,12:01,12:36,13:01,13:31,14:01,15:01,15:31,16:01,16:26,17:01,17:26,18:06,18:21,19:01,19:36,19:56,20:31
Centre Commercial Royallieu,06:09,06:27,06:58,07:22,07:39,08:07,09:02,09:32,10:02,10:32,11:02,11:32,12:02,12:37,13:02,13:32,14:02,15:02,15:32,16:02,16:27,17:02,17:27,18:07,18:22,19:02,19:37,19:57,20:32
Centre de Recherches,06:11,06:29,07:00,07:24,07:41,08:09,09:04,09:34,10:04,10:33,11:04,11:34,12:04,12:39,13:04,13:34,14:04,15:04,15:34,16:04,16:29,17:04,17:29,18:09,18:24,19:04,19:39,19:59,20:34
Rostand,06:12,06:30,07:01,07:25,07:42,08:10,09:05,09:35,10:05,10:34,11:05,11:35,12:05,12:40,13:05,13:35,14:05,15:05,15:35,16:05,16:30,17:05,17:30,18:10,18:25,19:05,19:40,20:00,20:35
Robert Desnos,06:12,06:30,07:01,07:25,07:42,08:10,09:05,09:35,10:05,10:34,11:05,11:35,12:05,12:40,13:05,13:35,14:05,15:05,15:35,16:05,16:30,17:05,17:30,18:10,18:25,19:05,19:40,20:00,20:35
Clos des Roses,06:13,06:31,07:03,07:27,07:44,08:12,09:07,09:37,10:07,10:36,11:07,11:37,12:07,12:42,13:07,13:37,14:07,15:07,15:37,16:07,16:32,17:07,17:32,18:12,18:27,19:07,19:41,20:01,20:36
Anatole France,06:15,06:33,07:05,07:29,07:46,08:14,09:09,09:39,10:09,10:37,11:09,11:39,12:09,12:44,13:09,13:39,14:09,15:09,15:39,16:09,16:34,17:09,17:34,18:14,18:29,19:09,19:43,20:03,20:38
Weygand,06:17,06:35,07:07,07:31,07:48,08:16,09:11,09:41,10:11,10:39,11:11,11:41,12:11,12:46,13:11,13:41,14:11,15:11,15:41,16:11,16:36,17:11,17:36,18:16,18:31,19:11,19:45,20:05,20:40
Robida,06:18,06:36,07:08,07:32,07:49,08:17,09:12,09:42,10:12,10:40,11:12,11:42,12:12,12:47,13:12,13:42,14:12,15:12,15:42,16:12,16:37,17:12,17:37,18:17,18:32,19:12,19:46,20:06,20:41
De Lattre de Tassigny,06:19,06:37,07:09,07:33,07:50,08:18,09:13,09:43,10:13,10:41,11:13,11:43,12:13,12:48,13:13,13:43,14:13,15:13,15:43,16:13,16:38,17:13,17:38,18:18,18:33,19:13,19:47,20:07,20:42
Glacière,06:20,06:38,07:11,07:35,07:52,08:20,09:15,09:45,10:15,10:43,11:15,11:45,12:15,12:50,13:15,13:45,14:15,15:15,15:45,16:15,16:40,17:15,17:40,18:20,18:35,19:15,19:48,20:08,20:43
Saint Joseph,06:21,06:39,07:12,07:36,07:53,08:21,09:16,09:46,10:16,10:44,11:16,11:46,12:16,12:51,13:16,13:46,14:16,15:16,15:46,16:16,16:41,17:16,17:41,18:21,18:36,19:16,19:49,20:09,20:44
Justice,06:22,06:40,07:14,07:38,07:55,08:23,09:18,09:48,10:18,10:46,11:18,11:48,12:18,12:53,13:18,13:48,14:18,15:18,15:48,16:18,16:43,17:18,17:43,18:23,18:38,19:18,19:50,20:10,20:45
Square Bonnault,06:23,06:41,07:15,07:39,07:56,08:24,09:19,09:49,10:19,10:47,11:19,11:49,12:19,12:54,13:19,13:49,14:19,15:19,15:49,16:19,16:44,17:19,17:44,18:24,18:39,19:19,19:51,20:11,20:46
La Vènerie,06:24,06:42,07:16,07:40,07:57,08:25,09:20,09:50,10:20,10:48,11:20,11:50,12:21,12:56,13:20,13:50,14:20,15:20,15:50,16:20,16:45,17:20,17:45,18:26,18:40,19:20,19:52,20:12,20:47
Veneurs,06:25,06:43,07:17,07:41,07:58,08:26,09:21,09:51,10:21,10:49,11:21,11:51,12:22,12:57,13:21,13:51,14:21,15:21,15:51,16:21,16:46,17:21,17:46,18:27,18:41,19:21,19:53,20:13,20:48
Jacques Monod,06:27,06:45,07:19,07:43,08:00,08:28,09:23,09:53,10:23,10:51,11:23,11:53,12:24,12:59,13:23,13:53,14:23,15:23,15:53,16:23,16:48,17:23,17:48,18:29,18:43,19:23,19:55,20:15,20:50
Victor Hugo,06:28,06:46,07:20,07:44,08:01,08:29,09:24,09:54,10:24,10:52,11:24,11:54,12:26,13:01,13:24,13:54,14:24,15:24,15:54,16:24,16:49,17:24,17:49,18:31,18:44,19:24,19:56,20:16,20:51
Palais,06:29,06:47,07:21,07:45,08:02,08:30,09:25,09:55,10:25,10:53,11:25,11:55,12:27,13:02,13:25,13:55,14:25,15:25,15:55,16:25,16:50,17:25,17:50,18:32,18:45,19:25,19:57,20:17,20:52
Saint-Jacques,06:31,06:49,07:23,07:47,08:04,08:32,09:27,09:57,10:27,10:54,11:27,11:57,12:29,13:04,13:27,13:57,14:27,15:27,15:57,16:27,16:52,17:27,17:52,18:34,18:47,19:27,19:59,20:19,20:54
Solférino,06:35,06:53,07:28,07:52,08:09,08:37,09:32,10:02,10:32,10:57,11:32,12:02,12:34,13:09,13:32,14:02,14:32,15:32,16:02,16:32,16:57,17:32,17:57,18:39,18:52,19:32,20:03,20:23,20:58
Compiègne Gare,06:38,06:56,07:31,07:55,08:12,08:40,09:35,10:05,10:35,11:00,11:35,12:05,12:37,13:12,13:35,14:05,14:35,15:35,16:05,16:35,17:00,17:35,18:00,18:42,18:55,19:35,20:06,20:26,21:01
