Lycée Charles de Gaulle,|,|,|,|,|,08:21,08:51,|,|,|,|,|,|,|,12:51,13:21,|,|,|,|,|,|,|,|,17:51,|,|,|,|
Jean Monnet,|,|,|,|,|,08:22,08:52,|,|,|,|,|,|,|,12:52,13:22,|,|,|,|,|,|,|,|,17:52,|,|,|,|
Mercure,|,|,|,|,|,08:24,08:54,|,|,|,|,|,|,|,12:54,13:24,|,|,|,|,|,|,|,|,17:54,|,|,|,|
CIMA,|,|,|,|,|,08:26,08:56,|,|,|,|,|,|,|,12:56,13:26,|,|,|,|,|,|,|,|,17:56,|,|,|,|
Belin,05:57,06:27,06:57,07:27,07:57,|,|,09:27,09:57,10:27,10:57,11:27,11:57,12:27,|,|,13:57,14:27,14:57,15:27,15:57,16:27,16:57,17:27,|,18:27,18:57,19:27,|
Hôpital,05:58,06:28,06:58,07:28,07:58,08:28,08:58,09:28,09:58,10:28,10:58,11:28,11:58,12:28,12:58,13:28,13:58,14:28,14:58,15:28,15:58,16:28,16:58,17:28,17:58,18:28,18:58,19:28,|
Parc de Loisirs,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:01,18:30,19:00,19:30,|
Cugnot,06:01,06:31,07:01,07:31,08:01,08:31,09:01,09:31,10:01,10:31,11:01,11:31,12:01,12:31,13:01,13:31,14:01,14:31,15:01,15:31,16:01,16:31,17:01,17:31,18:02,18:31,19:01,19:31,|
Ferdinand De Lesseps,06:02,06:32,07:02,07:32,08:02,08:32,09:02,09:32,10:02,10:32,11:02,11:32,12:02,12:32,13:02,13:32,14:02,14:32,15:02,15:32,16:02,16:32,17:02,17:32,18:03,18:32,19:02,19:32,|
Docteur Guérin,06:03,06:33,07:03,07:33,08:03,08:33,09:03,09:33,10:03,10:33,11:03,11:33,12:03,12:33,13:03,13:33,14:03,14:33,15:03,15:33,16:03,16:33,17:03,17:33,18:04,18:33,19:03,19:33,|
Docteur Calmette,06:04,06:34,07:04,07:34,08:04,08:34,09:04,09:34,10:04,10:34,11:04,11:34,12:04,12:34,13:04,13:34,14:04,14:34,15:04,15:34,16:04,16:34,17:04,17:34,18:05,18:34,19:04,19:34,|
Denielou,06:06,06:36,07:06,07:36,08:06,08:36,09:06,09:36,10:06,10:36,11:06,11:36,12:06,12:36,13:06,13:36,14:06,14:36,15:06,15:36,16:06,16:36,17:06,17:36,18:07,18:36,19:06,19:36,|
Hôpital de Jour,06:07,06:37,07:07,07:37,08:07,08:37,09:07,09:37,10:07,10:37,11:07,11:37,12:07,12:37,13:07,13:37,14:07,14:37,15:07,15:37,16:07,16:37,17:07,17:37,18:08,18:37,19:07,19:37,|
Stade du Clos des Roses,06:08,06:38,07:08,07:38,08:08,08:38,09:08,09:38,10:08,10:38,11:08,11:38,12:08,12:38,13:08,13:38,14:08,14:38,15:08,15:38,16:08,16:38,17:08,17:38,18:09,18:38,19:08,19:38,|
