Bellicart Départ,|,10:11,10:41,11:11,11:41,12:11,12:41,13:11,13:41,14:11,14:41,15:11,|,16:11,16:41,17:11,17:41,18:11,17:41,18:11,18:41,19:11,19:41,20:11
Aventis,|,|,|,|,|,|,12:42,13:12,13:42,|,14:42,|,|,|,16:42,|,17:42,18:12,17:42,18:12,|,|,19:42,|
Affimet,|,|,|,|,|,|,12:43,13:13,13:43,|,14:43,|,|,|,16:43,|,17:43,18:13,17:43,18:13,|,|,19:43,|
DSM,|,|,|,|,|,|,12:44,13:14,13:44,|,14:44,|,|,|,16:44,|,17:44,18:14,17:44,18:14,|,|,19:44,|
Barbillon,|,10:12,10:42,11:12,11:42,12:12,12:45,13:15,13:45,14:12,14:45,15:12,|,16:12,16:45,17:12,17:45,18:15,17:45,18:15,18:42,19:12,19:45,20:12
Vermandois,|,10:13,10:43,11:13,11:43,12:13,12:46,13:16,13:46,14:13,14:46,15:13,|,16:13,16:46,17:13,17:46,18:16,17:46,18:16,18:43,19:13,19:46,20:13
Rue de l'Aisne,|,10:14,10:44,11:14,11:44,12:14,12:47,13:17,13:47,14:14,14:47,15:14,|,16:14,16:47,17:14,17:47,18:17,17:47,18:17,18:44,19:14,19:47,20:14
Bannière du Roi,|,10:15,10:45,11:15,11:45,12:15,12:48,13:18,13:48,14:15,14:48,15:15,|,16:15,16:48,17:15,17:48,18:18,17:48,18:18,18:45,19:15,19:48,20:15
Sports Nautiques,|,10:16,10:46,11:16,11:46,12:16,12:49,13:19,13:49,14:16,14:49,15:16,|,16:16,16:49,17:16,17:49,18:19,17:49,18:19,18:46,19:16,19:49,20:16
Hippolyte Bottier,|,10:17,10:47,11:17,11:47,12:17,12:50,13:20,13:50,14:17,14:50,15:17,|,16:17,16:50,17:17,17:50,18:20,17:50,18:20,18:47,19:17,19:50,20:17
Gare Arrivée,|,10:21,10:51,11:21,11:51,12:21,12:52,13:22,13:52,14:21,14:52,15:21,|,16:21,16:52,17:21,17:52,18:22,17:52,18:22,18:51,19:21,19:52,20:21
Gare Départ,09:54,10:24,10:54,11:24,11:54,12:22,12:52,13:24,13:54,14:24,14:54,15:24,15:54,16:24,16:54,17:22,17:54,18:24,17:54,18:24,18:54,19:24,19:54,20:24
Harlay,09:56,10:26,10:56,11:26,11:56,12:24,12:54,13:26,13:56,14:26,14:56,15:26,15:56,16:26,16:56,17:24,17:56,18:26,17:56,18:26,18:56,19:26,19:56,20:26
Saint Antoine,09:58,10:28,10:58,11:28,11:58,12:26,12:56,13:28,13:58,14:28,14:58,15:28,15:58,16:28,16:58,17:26,17:58,18:28,17:58,18:28,18:58,19:28,19:58,20:28
Capucins,09:59,10:29,10:59,11:29,11:59,12:27,12:57,13:29,13:59,14:29,14:59,15:29,15:59,16:29,16:59,17:27,17:59,18:29,17:59,18:29,18:59,19:29,19:59,20:29
