Ferdinand De Lesseps Départ,06:10,06:35,07:02,07:47,08:17,08:55,09:25,10:10,10:39,11:09,11:40,12:16,13:42,14:17,14:52,15:26,16:00,16:34,17:29,18:07,18:41,19:13,19:47,20:19,21:04
Docteur Guérin,06:11,06:36,07:03,07:48,08:18,08:56,09:26,10:11,10:40,11:10,11:41,12:17,13:43,14:18,14:53,15:27,16:01,16:35,17:30,18:08,18:42,19:14,19:48,20:20,21:05
Docteur Calmette,06:12,06:37,07:04,07:49,08:19,08:57,09:27,10:12,10:41,11:11,11:42,12:18,13:44,14:19,14:54,15:28,16:02,16:36,17:31,18:09,18:43,19:15,19:49,20:21,21:06
André Malraux,06:14,06:39,07:06,07:51,08:21,08:59,09:29,10:14,10:43,11:13,11:44,12:20,13:46,14:21,14:56,15:30,16:04,16:38,17:33,18:11,18:45,19:17,19:51,20:23,21:07
Blaise Pascal,06:15,06:40,07:07,07:52,08:22,09:00,09:30,10:15,10:44,11:14,11:45,12:21,13:47,14:22,14:57,15:31,16:05,16:39,17:34,18:12,18:46,19:18,19:52,20:24,21:08
Cailloux,06:21,06:45,07:12,07:57,08:27,09:05,09:35,10:20,10:49,11:19,11:49,12:26,13:52,14:27,15:02,15:36,16:10,16:44,17:39,18:17,18:51,19:23,19:57,20:29,|
Métiers,06:22,06:46,07:13,07:58,08:28,09:06,09:36,10:21,10:50,11:20,11:52,12:28,13:55,14:30,15:05,15:39,16:15,16:50,17:43,18:20,18:54,19:25,19:59,20:30,|
Europe,06:23,06:48,07:15,08:00,08:30,09:08,09:38,10:23,10:52,11:22,11:54,12:30,13:57,14:32,15:07,15:41,16:17,16:52,17:45,18:22,18:56,19:27,20:01,20:32,|
Monnet,06:24,06:49,07:16,08:01,08:31,09:09,09:39,10:24,10:53,11:23,11:56,12:32,13:59,14:34,15:09,15:43,16:19,16:54,17:47,18:24,18:58,19:29,20:03,20:34,|
Centre Commercial Jaux Venette Arrivée,06:25,06:50,07:17,08:02,08:32,09:10,09:40,10:25,10:54,11:24,11:58,12:34,14:02,14:36,15:12,15:46,16:22,16:57,17:50,18:26,19:00,19:30,20:04,20:35,|
