Ouïnels,06:30,07:07,07:35,08:05,08:35,09:09,09:34,10:09,10:39,11:11,11:35,12:11,12:39,13:09,13:39,14:04,14:39,15:09,15:41,|,16:09,16:39,|,17:04,17:41,18:07,18:37,19:09,19:50,20:09
La Planchette,|,|,|,|,|,|,09:36,|,|,|,11:37,|,|,|,|,14:06,|,|,|,|,|,|,|,17:06,|,|,|,|,|,|
Poincaré Centre Commercial,|,|,|,|,|,|,09:38,|,|,|,11:39,|,|,|,|,14:08,|,|,|,|,|,|,|,17:08,|,|,|,|,|,|
Jeanne d'Arc,|,|,|,|,|,|,09:39,|,|,|,11:40,|,|,|,|,14:10,|,|,|,|,|,|,|,17:10,|,|,|,|,|,|
Paramé,|,|,|,|,|,|,09:40,|,|,|,11:41,|,|,|,|,14:11,|,|,|,|,|,|,|,17:11,|,|,|,|,|,|
Collège Debussy,06:31,07:08,07:36,08:06,08:36,09:10,|,10:10,10:40,11:13,|,12:13,12:40,13:10,13:40,|,14:40,15:10,15:42,15:55,16:10,16:40,16:50,|,17:42,18:08,18:38,19:10,19:51,20:10
Stade Dubois,06:32,07:09,07:37,08:07,08:37,09:11,09:41,10:11,10:41,11:14,11:42,12:14,12:41,13:11,13:41,14:12,14:41,15:11,15:43,|,16:11,16:41,|,17:12,17:43,18:09,18:39,19:11,19:52,20:11
République,06:33,07:10,07:38,08:08,08:38,09:12,09:42,10:12,10:42,11:15,11:43,12:15,12:42,13:12,13:42,14:13,14:42,15:12,15:44,|,16:12,16:42,|,17:13,17:44,18:10,18:40,19:12,19:53,20:12
Foyer Edith Piaf,06:34,07:11,07:40,08:10,08:40,09:13,09:43,10:13,10:43,11:16,11:44,12:16,12:43,13:13,13:43,14:14,14:43,15:13,15:45,|,16:13,16:43,|,17:14,17:45,18:12,18:42,19:13,19:54,20:13
Mairie de Margny,06:36,07:13,07:43,08:13,08:43,09:16,09:46,10:15,10:45,11:18,11:47,12:18,12:45,13:15,13:45,14:16,14:45,15:15,15:47,|,16:15,16:45,|,17:16,17:47,18:14,18:45,19:15,19:56,20:15
